1	236475	7250400	2.92	34	40
2	236550	7250400	2.66	39	31
3	236625	7250400	3.47	36	50
4	236700	7250400	3.07	38	44
5	236775	7250400	2.38	36	28
6	236325	7250475	5.53	53	45
7	236400	7250475	2.89	49	30
8	236475	7250475	3.84	40	46
9	236550	7250475	3.02	43	39
10	236625	7250475	2.76	37	44
11	236700	7250475	4.21	42	51
12	236775	7250475	3.70	40	48
13	236325	7250550	2.71	39	27
14	236400	7250550	2.79	38	27
15	236475	7250550	2.87	39	36
16	236550	7250550	1.70	37	32
17	236625	7250550	2.18	38	36
18	236700	7250550	3.39	39	38
19	236775	7250550	3.60	38	51
20	236325	7250625	2.23	45	23
21	236400	7250625	3.08	45	39
22	236475	7250625	2.97	43	41
23	236550	7250625	2.84	45	33
24	236625	7250625	2.37	43	39
25	236700	7250625	2.60	39	36
26	236775	7250625	3.12	41	51
27	236325	7250700	2.51	50	38
28	236400	7250700	3.13	45	30
29	236475	7250700	3.08	43	49
30	236550	7250700	1.58	44	27
31	236625	7250700	2.53	41	29
32	236700	7250700	2.86	38	58
33	236775	7250700	3.57	41	34
34	236250	7250775	2.41	40	30
35	236325	7250775	2.82	39	44
36	236400	7250775	3.95	39	37
37	236475	7250775	3.30	38	44
38	236550	7250775	1.50	38	37
39	236625	7250775	2.60	39	36
40	236700	7250775	2.42	38	42
41	236775	7250775	3.31	38	30
42	236250	7250850	2.94	46	46
43	236325	7250850	2.72	50	35
44	236400	7250850	2.53	47	26
45	236475	7250850	3.17	52	30
46	236550	7250850	2.11	46	26
47	236625	7250850	3.16	46	31
48	236700	7250850	3.21	43	37
49	236775	7250850	3.18	41.4	38.8
50	236850	7250850	3.38	37.8	48
51	236250	7250925	2.46	49.8	31.4
52	236325	7250925	2.31	47.4	32.6
53	236400	7250925	2.80	50.2	33.8
54	236475	7250925	2.89	48.4	47.8
55	236550	7250925	1.75	45.8	34
56	236625	7250925	2.27	47.4	29.2
57	236700	7250925	3.29	43.8	28.8
58	236775	7250925	2.82	41.6	46
59	236850	7250925	3.40	39.8	32
60	236250	7251000	2.70	49.4	28
61	236325	7251000	4.13	54.2	34.8
62	236400	7251000	2.65	46.2	52.8
63	236475	7251000	2.81	40.2	40.2
64	236550	7251000	3.38	40	35.8
65	236625	7251000	3.15	37.2	38.6
66	236700	7251000	4.13	39	37.2
67	236775	7251000	2.43	34.2	33.2
68	236850	7251000	3.80	38.8	53.4
69	236325	7251075	2.77	60.2	39.4
70	236400	7251075	2.78	48.2	32
71	236475	7251075	2.19	52.4	38.2
72	236550	7251075	3.12	42	34.4
73	236625	7251075	2.60	37.8	41.8
74	236700	7251075	3.47	39.4	46.2
75	236775	7251075	3.61	36.8	56
76	236850	7251075	3.69	37.2	33.8
77	236400	7251150	3.02	48.2	40.8
78	236475	7251150	3.39	44	34.8
79	236550	7251150	3.26	41.2	48
80	236625	7251150	3.60	45.4	61.4
81	236700	7251150	3.25	45.2	32.6
82	236775	7251150	3.88	46.4	45.2
83	236850	7251150	3.28	43.8	34.8
