1	34	40
1	39	31
1	36	50
1	38	44
1	36	28
1	53	45
1	49	30
1	40	46
1	43	39
1	37	44
1	42	51
1	40	48
1	39	27
1	38	27
1	39	36
1	37	32
1	38	36
1	39	38
1	38	51
1	45	23
1	45	39
1	43	41
1	45	33
1	43	39
1	39	36
1	41	51
1	50	38
1	45	30
1	43	49
1	44	27
1	41	29
1	38	58
1	41	34
1	40	30
1	39	44
1	39	37
1	38	44
1	38	37
1	39	36
1	38	42
1	38	30
1	46	46
1	50	35
1	47	26
1	52	30
1	46	26
1	46	31
1	43	37
1	41.4	38.8
1	37.8	48
1	49.8	31.4
1	47.4	32.6
1	50.2	33.8
1	48.4	47.8
1	45.8	34
1	47.4	29.2
1	43.8	28.8
1	41.6	46
1	39.8	32
1	49.4	28
1	54.2	34.8
1	46.2	52.8
1	40.2	40.2
1	40	35.8
1	37.2	38.6
1	39	37.2
1	34.2	33.2
1	38.8	53.4
1	60.2	39.4
1	48.2	32
1	52.4	38.2
1	42	34.4
1	37.8	41.8
1	39.4	46.2
1	36.8	56
1	37.2	33.8
1	48.2	40.8
1	44	34.8
1	41.2	48
1	45.4	61.4
1	45.2	32.6
1	46.4	45.2
1	43.8	34.8
