236475	7250400	34	40	2.92
236550	7250400	39	31	2.66
236625	7250400	36	50	3.47
236700	7250400	38	44	3.07
236775	7250400	36	28	2.38
236325	7250475	53	45	5.53
236400	7250475	49	30	2.89
236475	7250475	40	46	3.84
236550	7250475	43	39	3.02
236625	7250475	37	44	2.76
236700	7250475	42	51	4.21
236775	7250475	40	48	3.70
236325	7250550	39	27	2.71
236400	7250550	38	27	2.79
236475	7250550	39	36	2.87
236550	7250550	37	32	1.70
236625	7250550	38	36	2.18
236700	7250550	39	38	3.39
236775	7250550	38	51	3.60
236325	7250625	45	23	2.23
236400	7250625	45	39	3.08
236475	7250625	43	41	2.97
236550	7250625	45	33	2.84
236625	7250625	43	39	2.37
236700	7250625	39	36	2.60
236775	7250625	41	51	3.12
236325	7250700	50	38	2.51
236400	7250700	45	30	3.13
236475	7250700	43	49	3.08
236550	7250700	44	27	1.58
236625	7250700	41	29	2.53
236700	7250700	38	58	2.86
236775	7250700	41	34	3.57
236250	7250775	40	30	2.41
236325	7250775	39	44	2.82
236400	7250775	39	37	3.95
236475	7250775	38	44	3.30
236550	7250775	38	37	1.50
236625	7250775	39	36	2.60
236700	7250775	38	42	2.42
236775	7250775	38	30	3.31
236250	7250850	46	46	2.94
236325	7250850	50	35	2.72
236400	7250850	47	26	2.53
236475	7250850	52	30	3.17
236550	7250850	46	26	2.11
236625	7250850	46	31	3.16
236700	7250850	43	37	3.21
236775	7250850	41.4	38.8	3.18
236850	7250850	37.8	48	3.38
236250	7250925	49.8	31.4	2.46
236325	7250925	47.4	32.6	2.31
236400	7250925	50.2	33.8	2.80
236475	7250925	48.4	47.8	2.89
236550	7250925	45.8	34	1.75
236625	7250925	47.4	29.2	2.27
236700	7250925	43.8	28.8	3.29
236775	7250925	41.6	46	2.82
236850	7250925	39.8	32	3.40
236250	7251000	49.4	28	2.70
236325	7251000	54.2	34.8	4.13
236400	7251000	46.2	52.8	2.65
236475	7251000	40.2	40.2	2.81
236550	7251000	40	35.8	3.38
236625	7251000	37.2	38.6	3.15
236700	7251000	39	37.2	4.13
236775	7251000	34.2	33.2	2.43
236850	7251000	38.8	53.4	3.80
236325	7251075	60.2	39.4	2.77
236400	7251075	48.2	32	2.78
236475	7251075	52.4	38.2	2.19
236550	7251075	42	34.4	3.12
236625	7251075	37.8	41.8	2.60
236700	7251075	39.4	46.2	3.47
236775	7251075	36.8	56	3.61
236850	7251075	37.2	33.8	3.69
236400	7251150	48.2	40.8	3.02
236475	7251150	44	34.8	3.39
236550	7251150	41.2	48	3.26
236625	7251150	45.4	61.4	3.60
236700	7251150	45.2	32.6	3.25
236775	7251150	46.4	45.2	3.88
236850	7251150	43.8	34.8	3.28
